Time_Min,House_ID,Profile,Power_Usage_kW
0,House_1,Standard,0.146
1,House_1,Standard,0.254
2,House_1,Standard,0.208
3,House_1,Standard,0.221
4,House_1,Standard,0.184
5,House_1,Standard,0.196
6,House_1,Standard,0.247
7,House_1,Standard,0.193
8,House_1,Standard,0.222
9,House_1,Standard,0.193
10,House_1,Standard,0.119
11,House_1,Standard,0.161
12,House_1,Standard,0.299
13,House_1,Standard,0.106
14,House_1,Standard,0.128
15,House_1,Standard,0.22
16,House_1,Standard,0.282
17,House_1,Standard,0.158
18,House_1,Standard,0.232
19,House_1,Standard,0.266
20,House_1,Standard,0.105
21,House_1,Standard,0.11
22,House_1,Standard,0.151
23,House_1,Standard,0.139
24,House_1,Standard,0.18
25,House_1,Standard,0.135
26,House_1,Standard,0.241
27,House_1,Standard,0.119
28,House_1,Standard,0.279
29,House_1,Standard,1.316
30,House_1,Standard,0.296
31,House_1,Standard,0.262
32,House_1,Standard,0.273
33,House_1,Standard,0.246
34,House_1,Standard,0.278
35,House_1,Standard,0.217
36,House_1,Standard,0.245
37,House_1,Standard,0.186
38,House_1,Standard,0.19
39,House_1,Standard,0.294
40,House_1,Standard,0.226
41,House_1,Standard,0.281
42,House_1,Standard,0.263
43,House_1,Standard,0.209
44,House_1,Standard,0.256
45,House_1,Standard,0.182
46,House_1,Standard,0.114
47,House_1,Standard,0.266
48,House_1,Standard,0.107
49,House_1,Standard,0.274
50,House_1,Standard,0.248
51,House_1,Standard,0.143
52,House_1,Standard,0.251
53,House_1,Standard,0.156
54,House_1,Standard,0.263
55,House_1,Standard,0.181
56,House_1,Standard,0.244
57,House_1,Standard,0.123
58,House_1,Standard,1.459
59,House_1,Standard,0.258
60,House_1,Standard,0.236
61,House_1,Standard,0.271
62,House_1,Standard,0.11
63,House_1,Standard,0.107
64,House_1,Standard,0.235
65,House_1,Standard,0.195
66,House_1,Standard,0.268
67,House_1,Standard,0.29
68,House_1,Standard,0.171
69,House_1,Standard,0.172
70,House_1,Standard,0.294
71,House_1,Standard,0.178
72,House_1,Standard,0.22
73,House_1,Standard,0.114
74,House_1,Standard,0.121
75,House_1,Standard,0.203
76,House_1,Standard,0.262
77,House_1,Standard,0.233
78,House_1,Standard,0.166
79,House_1,Standard,0.126
80,House_1,Standard,0.111
81,House_1,Standard,0.225
82,House_1,Standard,0.114
83,House_1,Standard,0.128
84,House_1,Standard,0.148
85,House_1,Standard,0.118
86,House_1,Standard,0.108
87,House_1,Standard,0.217
88,House_1,Standard,0.205
89,House_1,Standard,0.296
90,House_1,Standard,0.287
91,House_1,Standard,0.216
92,House_1,Standard,0.148
93,House_1,Standard,0.292
94,House_1,Standard,0.23
95,House_1,Standard,0.25
96,House_1,Standard,0.195
97,House_1,Standard,0.2
98,House_1,Standard,0.285
99,House_1,Standard,0.217
100,House_1,Standard,0.114
101,House_1,Standard,0.123
102,House_1,Standard,0.152
103,House_1,Standard,0.254
104,House_1,Standard,0.223
105,House_1,Standard,0.215
106,House_1,Standard,0.237
107,House_1,Standard,0.101
108,House_1,Standard,0.231
109,House_1,Standard,0.122
110,House_1,Standard,0.14
111,House_1,Standard,0.232
112,House_1,Standard,0.232
113,House_1,Standard,0.166
114,House_1,Standard,0.177
115,House_1,Standard,0.269
116,House_1,Standard,0.162
117,House_1,Standard,0.133
118,House_1,Standard,0.198
119,House_1,Standard,1.46
120,House_1,Standard,0.297
121,House_1,Standard,0.276
122,House_1,Standard,0.187
123,House_1,Standard,0.176
124,House_1,Standard,0.225
125,House_1,Standard,0.268
126,House_1,Standard,0.136
127,House_1,Standard,0.234
128,House_1,Standard,0.144
129,House_1,Standard,0.192
130,House_1,Standard,0.132
131,House_1,Standard,0.114
132,House_1,Standard,0.283
133,House_1,Standard,0.266
134,House_1,Standard,0.194
135,House_1,Standard,0.213
136,House_1,Standard,0.287
137,House_1,Standard,0.193
138,House_1,Standard,0.117
139,House_1,Standard,0.184
140,House_1,Standard,0.127
141,House_1,Standard,0.241
142,House_1,Standard,0.176
143,House_1,Standard,0.22
144,House_1,Standard,0.213
145,House_1,Standard,0.163
146,House_1,Standard,0.126
147,House_1,Standard,0.197
148,House_1,Standard,0.284
149,House_1,Standard,0.284
150,House_1,Standard,0.107
151,House_1,Standard,0.194
152,House_1,Standard,0.199
153,House_1,Standard,0.281
154,House_1,Standard,0.29
